ID,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Number of Languages,Number of Genres,In-App Purchase Present
1127241728,4.5,1021.0,0.0,"4.99, 19.99, 9.99, 49.99, 99.99, 1.99",9+,"EN, FR, DE, IT, JA, KO, RU, ES",194635776.0,"Games, Action, Strategy",8,3,N
1127260935,4.5,6805.0,0.0,"49.99, 99.99, 4.99, 99.99, 99.99, 4.99, 99.99, 99.99, 4.99, 99.99",12+,"AR, EN, FR, DE, HI, ID, IT, JA, KO, PL, PT, RU, ZH, ES, TH, ZH, TR",579474432.0,"Games, Action, Strategy",17,3,N
1129660274,4.5,2215.0,0.0,"1.99, 3.99, 5.99, 9.99, 1.99, 11.99, 1.99, 5.99, 3.99, 14.99",4+,EN,260145152.0,"Games, Entertainment, Strategy, Casual",1,4,N
1131944535,4.0,5888.0,0.0,"1.99, 4.99, 19.99, 0.99, 99.99, 99.99, 0.99, 49.99, 4.99, 9.99, 0.99",9+,"EN, FR, DE, ID, PT, RU, ZH, ES, TH, ZH, TR, VI",863968256.0,"Games, Role Playing, Strategy",12,3,N
1133173046,4.5,10425.0,0.0,"19.99, 2.99, 9.99, 4.99, 9.99, 4.99, 19.99, 34.99, 14.99, 49.99",12+,EN,266033152.0,"Games, Role Playing, Entertainment, Strategy",1,4,N
1133478462,4.5,763.0,0.0,"4.99, 2.99, 4.99, 2.99, 9.99, 4.99, 4.99, 2.99, 0.99, 9.99",12+,EN,119830528.0,"Games, Simulation, Strategy",1,3,N
1134614037,4.5,6946.0,0.0,"6.99, 30.99, 4.99, 9.99, 3.99, 24.99, 0.99, 7.99, 4.99, 4.99, 13.99, 18.99, 9.99",4+,"EN, FR, DE, JA, KO, PT, RU, ZH, ES",275367936.0,"Games, Entertainment, Strategy, Simulation",9,4,N
1135188984,4.5,2177.0,0.0,"0.99, 7.99, 2.99, 1.99, 6.99, 29.99, 0.99, 1.99, 1.99, 1.99",9+,EN,142524416.0,"Games, Entertainment, Action, Strategy",1,4,N
1137545277,4.5,1123.0,0.0,"2.99, 4.99, 2.99, 4.99, 8.99, 0.99, 3.99, 2.99, 17.99, 2.99, 8.99, 8.99",9+,EN,446633984.0,"Games, Strategy, Entertainment, Action",1,4,N
1139379843,5.0,15646.0,0.0,"1.99, 4.99, 9.99, 2.99, 1.99, 19.99, 4.99, 6.99, 14.99, 19.99",17+,EN,176746496.0,"Games, Simulation, Strategy",1,3,N
1139683379,4.5,928.0,0.0,"99.99, 19.99, 4.99, 9.99, 49.99, 4.99, 19.99, 69.99, 19.99, 59.99",12+,"AR, EN, JA, KO, ZH, TH, ZH, VI",523014144.0,"Games, Strategy, Role Playing",8,3,N
1139986797,4.5,1282.0,0.0,"0.99, 9.99, 4.99, 19.99, 9.99, 99.99, 4.99, 19.99, 49.99, 99.99",9+,"AR, NL, EN, FR, DE, ID, IT, JA, KO, NB, PT, RU, ZH, ES, SV, TH, ZH, TR",155776000.0,"Games, Strategy, Action",18,3,N
